[WATERBODY 1]

[MAX SPEED]
55  # knots

[DEPTH]
1000 # meters

[WATER BOUNDRY]
53, 17244539.3836999, 6943050.75776
54, 17261726.0023999, 6929657.29067
57, 17232459.0753, 6868945.23
58, 16954966.7947, 6890379.98058999
59, 16754256.0156999, 6887719.73433999
60, 16446423.3226999, 6900090.20817
61, 16403468.5541999, 6880359.70024
62, 16481486.7573, 6851238.84229
63, 16361921.2697999, 6836349.83889999
64, 16193841.7456, 6877204.02943
65, 16010980.6928, 6872210.75269
66, 15828814.5485999, 6881049.81831
67, 15657708.05, 6879874.67664999
68, 15528566.9586999, 6870634.70077999
69, 15409696.3796999, 6883461.30815999
70, 15421433.2666999, 6915610.47396
71, 15341118.332, 6933285.79965
72, 15149011.4626, 6940230.84422999
73, 14759397.4602, 6932251.99973
74, 14506839.4393, 6964011.51657999
75, 14424710.6755999, 6987819.84652999
76, 13553242.3993999, 7013004.21573
77, 13425862.1356, 6996306.38386
78, 13495523.7695, 6959164.59561999
79, 13337697.0902999, 6964891.35950999
80, 13266639.7503999, 6953395.94192999
81, 13079880.1431, 6965995.96406
82, 12915434.1659999, 6954994.85943
83, 12760646.2392999, 6973318.12339999
84, 12667557.9439, 6929910.95194
85, 12515826.4368999, 6946986.07876999
86, 12394635.5701, 6979084.49835999
87, 12451718.1820999, 6995617.89561
88, 12407297.0387999, 7020171.44173999
89, 12251490.3056, 7039720.44288999
90, 12097462.0670999, 7039524.14322999
91, 11892693.729, 7045887.46908999
92, 11887175.6842999, 7017627.80936
93, 11483804.8489999, 7023231.96605999
94, 11460283.9626, 7040531.74844999
95, 11150713.9984, 7046531.85575999
96, 10996432.5305, 7040794.52551999
97, 10954060.7784, 7031243.72498
98, 10904828.277, 7054572.30986999
99, 10817976.491, 7047787.75722999
100, 10675249.3494, 7056820.2416
101, 10555607.3040999, 7061771.84100999
102, 10628089.7953999, 7072119.81482999
103, 10881654.8447999, 7090980.32134
104, 10988388.0811, 7100759.84446999
105, 11012391.8699999, 7117475.16330999
106, 10934933.1271, 7129153.95992999
107, 10717432.6516999, 7143902.83870999
108, 10435370.4642999, 7144296.036
109, 10347199.5299999, 7137014.06431999
110, 10321164.017, 7151674.15816
111, 10102603.5117, 7156109.90844999
112, 10233982.4439, 7163136.11868999
113, 10068505.8820999, 7172171.35575999
114, 9840723.11636999, 7160686.8232
115, 9748518.17923999, 7148386.15465999
116, 9721929.09504999, 7135506.97013
117, 9544662.64475, 7136009.93819
118, 9328127.97441999, 7119612.13157999
119, 9249185.18958999, 7126616.8618
120, 8995832.14620999, 7123736.17222
121, 8963642.57053999, 7115118.91256999
122, 8708858.48674999, 7110869.12731999
123, 8521250.85552999, 7094703.58564999
124, 8410407.05872, 7093795.07368999
125, 8298756.46135, 7071532.91198
126, 8377163.34217, 7053143.06575999
127, 8168072.43761, 7048443.31061999
128, 7936008.32875, 7050033.01981
129, 7768217.36823999, 7042739.59169999
130, 7777828.30630999, 7002774.82378999
131, 7863643.61856, 6969841.04585999
132, 7685334.80547999, 6992543.76401
133, 7485089.26181999, 6990467.79447
134, 7323605.47941999, 6974837.42202
135, 7367608.49980999, 6945310.11469999
136, 7264367.47326, 6952899.24969999
137, 7302416.65885, 6991772.56653
138, 7251723.67176, 7013218.02852999
139, 7203598.31273999, 7012348.41093
140, 7225947.27718999, 6984702.62904
141, 7053250.73371, 6957488.80025
142, 7178569.82818, 6923290.82617999
143, 7101576.32060999, 6879227.5963
144, 7124767.41995, 6853907.31649999
145, 7230287.51087, 6850112.4357
146, 7185265.68393, 6819102.37172
147, 7241500.27194999, 6791666.56807999
148, 7157981.69122999, 6768172.78622999
149, 7132370.1902, 6743263.52833
150, 7026196.41416, 6730138.25676999
151, 6987835.10864999, 6711509.02859999
152, 6877550.77209, 6719169.14278
153, 7066530.55317, 6790688.34853
154, 7107942.38927, 6822851.25968999
155, 7001497.71669, 6851571.72687
156, 7023416.78010999, 6912919.88166
157, 6992369.68114999, 6942693.95088999
158, 6932354.31969, 6955927.54951999
159, 7023823.12492, 6988609.7104
160, 7003700.22333, 7010211.48273
161, 6748262.45442, 7020224.33024
162, 6676492.53880999, 7012776.3841
163, 6613179.30645, 6977260.97922
164, 6435123.72274, 6940130.93754999
165, 6438038.80506, 6926582.54349999
166, 6489656.37380999, 6892659.59485999
167, 6457837.80862, 6871423.04485
168, 6574123.09241999, 6866964.01738999
169, 6576938.0608, 6857259.00193999
170, 6674990.82973, 6832676.74162
171, 6610476.23010999, 6807757.46829999
172, 6260813.57813999, 6861415.50786999
173, 6127273.36263, 6875616.79939999
174, 5842254.86949, 6889170.23240999
175, 5792080.11926, 6874379.87043
176, 5893177.52972999, 6847858.72487
177, 5783535.10018, 6816688.24079
178, 5673598.21786999, 6845083.58026
179, 5530311.61601999, 6825621.89517999
180, 5349458.7311, 6824314.18573
181, 5280338.89032, 6807989.62506
182, 5160655.62167, 6812994.14824
183, 5255769.75207, 6841700.25229999
184, 5183004.58612, 6843993.02424
185, 4846286.07746, 6803242.87055999
186, 4644721.38544, 6779984.45808
187, 4621141.60845, 6748086.7196
188, 4472054.28722999, 6737056.32199999
189, 4396114.92054999, 6754430.22107999
190, 4395461.23541999, 6782153.55829
191, 4517612.01819, 6788212.24887
192, 4462502.23971, 6815331.77747999
193, 4192606.84030999, 6830566.33585
194, 4263528.73197, 6800909.25301
195, 4216304.3984, 6771565.17305999
196, 4296754.78136, 6741573.96576
197, 4240561.41672999, 6706096.47905999
198, 4150464.76135999, 6724266.85706999
